Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Chris Webber,4,2,76,13,35,0.371,1,3,0.333,12,32,0.375,3,8,0.375,11,13,24,13,4,0,8,9,30,,19,7.5,6,3.3
Mark Price,4,0,80,18,35,0.514,9,19,0.474,9,16,0.563,9,10,0.9,1,5,6,13,5,1,8,9,54,,20,13.5,1.5,3.3
Micheal Ray Richardson,4,0,70,15,32,0.469,0,3,0,15,29,0.517,2,4,0.5,5,5,10,10,9,0,7,9,32,,17.5,8,2.5,2.5
Chris Mullin,4,2,78,12,24,0.5,2,2,1,10,22,0.455,7,8,0.875,3,5,8,8,4,1,5,2,33,,19.5,8.3,2,2
Kemba Walker,4,2,84,19,42,0.452,7,25,0.28,12,17,0.706,0,0,,3,6,9,18,3,0,3,1,45,,21,11.3,2.3,4.5
Carl Braun,4,0,90,13,27,0.481,,,,13,27,0.481,4,4,1,,,12,8,,,,9,30,,22.5,7.5,3,2
Pete Maravich,4,4,79,18,44,0.409,,,,18,44,0.409,7,9,0.778,1,4,8,15,4,0,4,8,43,,19.8,10.8,2,3.8
Rasheed Wallace,4,0,77,6,24,0.25,1,10,0.1,5,14,0.357,3,4,0.75,5,10,15,2,4,3,3,3,16,,19.2,4,3.8,0.5
Dick Garmaker,4,2,73,13,36,0.361,,,,13,36,0.361,5,6,0.833,,,19,6,,,,9,31,,18.3,7.8,4.8,1.5
Billy Cunningham,4,3,93,18,44,0.409,,,,18,44,0.409,12,15,0.8,,,23,9,,,,11,48,,23.3,12,5.8,2.3
Bobby Jones,4,1,62,9,23,0.391,0,0,,9,23,0.391,2,3,0.667,3,11,14,6,2,3,1,8,20,,15.5,5,3.5,1.5
Cliff Hagan,4,1,65,8,26,0.308,,,,8,26,0.308,5,5,1,,,15,6,,,,8,21,,16.3,5.3,3.8,1.5
Anfernee Hardaway,4,4,98,20,32,0.625,5,12,0.417,15,20,0.75,10,12,0.833,8,7,15,24,4,0,8,3,55,,24.5,13.8,3.8,6
DeMar DeRozan,4,2,85,28,50,0.56,1,7,0.143,27,43,0.628,6,8,0.75,5,10,15,12,5,0,7,1,63,,21.1,15.8,3.8,3
